 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  839  0.5500  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      22      4.45175130E-04  1.10610218E+00  2.28112150E+00  3.59319859E+00  5.50000000E-01  1.43740000E-10  7.11658486E-01  5.40531286E+54  5.40531286E+54  1.14379969E+07  0.00000000E+00  3.78094874E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.91356805E+49  0.00000000E+00  0.00000000E+00  9.41954770E-01  6.63007357E+00  2.22862707E-12
   1      23      4.57313376E-04  1.10063849E+00  2.27630218E+00  3.59312020E+00  5.50000000E-01  1.43740000E-10  7.11658287E-01  5.38306219E+54  5.38306219E+54  1.13974769E+07  0.00000000E+00  3.79125922E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.89334162E+49  0.00000000E+00  0.00000000E+00  9.42229995E-01  6.63910737E+00  2.21761857E-12
   1      24      4.71498681E-04  1.09461505E+00  2.27096957E+00  3.59303368E+00  5.50000000E-01  1.43740000E-10  7.11658052E-01  5.35849219E+54  5.35849219E+54  1.13566708E+07  0.00000000E+00  3.80276467E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.87100686E+49  0.00000000E+00  0.00000000E+00  9.42534119E-01  6.64917368E+00  2.20548226E-12
   1      25      4.88758966E-04  1.08773289E+00  2.26485943E+00  3.59293392E+00  5.50000000E-01  1.43740000E-10  7.11657762E-01  5.33040583E+54  5.33040583E+54  1.13156036E+07  0.00000000E+00  3.81606137E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.84547564E+49  0.00000000E+00  0.00000000E+00  9.42882047E-01  6.66078825E+00  2.19161575E-12
   1      26      5.11197338E-04  1.07940323E+00  2.25743067E+00  3.59281270E+00  5.50000000E-01  1.43740000E-10  7.11657382E-01  5.29635274E+54  5.29635274E+54  1.12744610E+07  0.00000000E+00  3.83240590E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.81452050E+49  0.00000000E+00  0.00000000E+00  9.43304277E-01  6.67503738E+00  2.17483276E-12
   1      27      5.40367222E-04  1.06935618E+00  2.24842424E+00  3.59266545E+00  5.50000000E-01  1.43740000E-10  7.11656883E-01  5.25520706E+54  5.25520706E+54  1.12379436E+07  0.00000000E+00  3.85248175E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.77711802E+49  0.00000000E+00  0.00000000E+00  9.43815005E-01  6.69249796E+00  2.15458949E-12
   1      28      5.76111548E-04  1.05785401E+00  2.23805023E+00  3.59249550E+00  5.50000000E-01  1.43740000E-10  7.11656268E-01  5.20800249E+54  5.20800249E+54  1.12134817E+07  0.00000000E+00  3.87596494E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.73420786E+49  0.00000000E+00  0.00000000E+00  9.44401666E-01  6.71286437E+00  2.13141438E-12
   1      29      6.13959438E-04  1.04616771E+00  2.22751726E+00  3.59231377E+00  5.50000000E-01  1.43740000E-10  7.11655618E-01  5.16028493E+54  5.16028493E+54  1.12062318E+07  0.00000000E+00  3.90010662E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.69083137E+49  0.00000000E+00  0.00000000E+00  9.44995511E-01  6.73373765E+00  2.10786827E-12
   1      30      6.52967509E-04  1.03434701E+00  2.21689598E+00  3.59211789E+00  5.50000000E-01  1.43740000E-10  7.11654954E-01  5.11238414E+54  5.11238414E+54  1.12149517E+07  0.00000000E+00  3.92474125E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.64728833E+49  0.00000000E+00  0.00000000E+00  9.45592459E-01  6.75497066E+00  2.08405135E-12
   1      31      6.86558526E-04  1.02453026E+00  2.20778257E+00  3.59197703E+00  5.50000000E-01  1.43740000E-10  7.11654389E-01  5.07145674E+54  5.07145674E+54  1.12329485E+07  0.00000000E+00  3.94651775E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  4.61008427E+49  0.00000000E+00  0.00000000E+00  9.46103130E-01  6.77368478E+00  2.06427211E-12
