 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1 1072  0.7000  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1      22      2.58137362E-04  2.53941252E+00  3.02994558E+00  3.62178988E+00  7.00000000E-01  1.43740000E-10  7.11660122E-01  1.20898468E+55  1.20898468E+55  1.46304006E+07  0.00000000E+00  2.62227467E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.09899809E+50  0.00000000E+00  0.00000000E+00  9.11159132E-01  5.52149956E+00  5.11652864E-12
   1      23      2.59695420E-04  2.53143989E+00  3.02534627E+00  3.62177834E+00  7.00000000E-01  1.43740000E-10  7.11660112E-01  1.20540902E+55  1.20540902E+55  1.45957497E+07  0.00000000E+00  2.62981174E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.09574772E+50  0.00000000E+00  0.00000000E+00  9.11419631E-01  5.52942895E+00  5.10046500E-12
   1      24      2.61252064E-04  2.52356876E+00  3.02079856E+00  3.62176689E+00  7.00000000E-01  1.43740000E-10  7.11660102E-01  1.20187845E+55  1.20187845E+55  1.45610014E+07  0.00000000E+00  2.63728874E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.09253834E+50  0.00000000E+00  0.00000000E+00  9.11677167E-01  5.53728392E+00  5.08460587E-12
   1      25      2.62807956E-04  2.51579534E+00  3.01630012E+00  3.62175554E+00  7.00000000E-01  1.43740000E-10  7.11660092E-01  1.19839093E+55  1.19839093E+55  1.45261372E+07  0.00000000E+00  2.64470770E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.08936810E+50  0.00000000E+00  0.00000000E+00  9.11931872E-01  5.54506693E+00  5.06894362E-12
   1      26      2.64363631E-04  2.50811626E+00  3.01184875E+00  3.62174432E+00  7.00000000E-01  1.43740000E-10  7.11660081E-01  1.19494465E+55  1.19494465E+55  1.44911741E+07  0.00000000E+00  2.65207029E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.08623534E+50  0.00000000E+00  0.00000000E+00  9.12183870E-01  5.55278000E+00  5.05347145E-12
   1      27      2.65919452E-04  2.50052754E+00  3.00744330E+00  3.62173317E+00  7.00000000E-01  1.43740000E-10  7.11660071E-01  1.19153853E+55  1.19153853E+55  1.44561031E+07  0.00000000E+00  2.65938044E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.08313909E+50  0.00000000E+00  0.00000000E+00  9.12433228E-01  5.56042756E+00  5.03818134E-12
   1      28      2.67476200E-04  2.49302568E+00  3.00308109E+00  3.62172214E+00  7.00000000E-01  1.43740000E-10  7.11660060E-01  1.18817040E+55  1.18817040E+55  1.44209397E+07  0.00000000E+00  2.66663951E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.08007737E+50  0.00000000E+00  0.00000000E+00  9.12680095E-01  5.56801129E+00  5.02306623E-12
   1      29      2.69034230E-04  2.48560829E+00  2.99876069E+00  3.62171125E+00  7.00000000E-01  1.43740000E-10  7.11660049E-01  1.18483899E+55  1.18483899E+55  1.43856462E+07  0.00000000E+00  2.67384871E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.07704904E+50  0.00000000E+00  0.00000000E+00  9.12924554E-01  5.57553270E+00  5.00812133E-12
   1      30      2.70593942E-04  2.47827202E+00  2.99448099E+00  3.62170045E+00  7.00000000E-01  1.43740000E-10  7.11660037E-01  1.18154336E+55  1.18154336E+55  1.43502741E+07  0.00000000E+00  2.68101115E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.07405322E+50  0.00000000E+00  0.00000000E+00  9.13166667E-01  5.58299530E+00  4.99333985E-12
   1      31      2.72156012E-04  2.47101450E+00  2.99023975E+00  3.62168980E+00  7.00000000E-01  1.43740000E-10  7.11660026E-01  1.17828162E+55  1.17828162E+55  1.43147743E+07  0.00000000E+00  2.68812717E+04  7.00000000E-01  8.00000000E+00  0.00000000E+00  0.00000000E+00  9.09025652E-06  1.07108822E+50  0.00000000E+00  0.00000000E+00  9.13406560E-01  5.59039966E+00  4.97871707E-12
